Código,Ação,Tipo,Qtde. Teórica,Part. (%),data_ref
ALOS3,ALLOS,ON ED NM,476.976.044,495.0,2025-08-01
ABEV3,AMBEV S/A,ON,4.394.835.131,2666.0,2025-08-01
ASAI3,ASSAI,ON NM,1.345.897.506,617.0,2025-08-01
AURE3,AUREN,ON NM,323.738.747,146.0,2025-08-01
AZZA3,AZZAS 2154,ON NM,136.643.320,237.0,2025-08-01
B3SA3,B3,ON NM,5.200.055.464,3185.0,2025-08-01
BBSE3,BBSEGURIDADE,ON NM,637.332.335,1046.0,2025-08-01
BBDC3,BRADESCO,ON N1,1.469.064.981,959.0,2025-08-01
BBDC4,BRADESCO,PN N1,5.111.682.020,3865.0,2025-08-01
BRAP4,BRADESPAR,PN N1,250.982.988,193.0,2025-08-01
BBAS3,BRASIL,ON NM,2.842.613.858,2727.0,2025-08-01
BRKM5,BRASKEM,PNA N1,265.388.400,113.0,2025-08-01
BRAV3,BRAVA,ON NM,451.311.960,434.0,2025-08-01
BRFS3,BRF SA,ON NM,832.617.717,813.0,2025-08-01
BPAC11,BTGP BANCO,UNT N2,1.287.247.964,2452.0,2025-08-01
CXSE3,CAIXA SEGURI,ON NM,600.000.000,403.0,2025-08-01
CMIG4,CEMIG,PN N1,1.858.636.840,935.0,2025-08-01
COGN3,COGNA ON,ON NM,1.872.454.628,252.0,2025-08-01
CPLE6,COPEL,PNB N2,1.671.982.390,965.0,2025-08-01
CSAN3,COSAN,ON NM,1.160.227.510,335.0,2025-08-01
Quantidade Teórica Total,Quantidade Teórica Total,Quantidade Teórica Total,91.922.324.640,100000.0,2025-08-01
Redutor,Redutor,Redutor,"15.433.059,45876274",,2025-08-01
